Time(s),Sensor1,Sensor2,Sensor3,Sensor4,Gyroscope,Magnetic_compass,Gyro integrated heading
176.5,1.14,1.22,1.22,1.24,-0.0174,-0.131635673,0.224758651549955
177,1.16,1.3,1.28,1.36,-0.027,1.888865137,0.344531799302812
177.5,1.24,1.26,1.28,1.3,0.004,0.3834416327,0.70510910856427
178,1.2,1.3,1.4,1.38,-0.0066,-3.827189259,-0.46322587677608
178.5,1.26,1.24,1.34,1.28,-0.0206,-3.039501564,-1.50767120404822
179,1.22,1.2,1.28,1.3,-0.0154,-1.312299771,-1.72427593564728
179.5,1.18,1.22,1.32,1.34,-0.0136,0.04772296614,-1.43872805523386
180,1.18,1.26,1.36,1.28,-0.0234,0.9482673186,-1.11594401254843
180.5,1.2,1.2,1.18,1.3,-0.0156,0.3553368506,-0.804626987219261
181,1.2,1.3,1.32,1.24,-0.0208,1.213944137,-0.394915185210743
181.5,1.2,1.26,1.28,1.34,-0.038,0.9544612668,-0.459088352176157
182,1.3,1.24,1.28,1.4,-0.0124,-0.1481527152,-0.232278496625076
182.5,1.18,1.28,1.24,1.28,-0.0148,0.8247981421,0.160712440515405
183,1.18,1.24,1.38,1.36,-0.0132,-1.170738712,-0.0630615611119945
183.5,1.3,1.3,1.3,1.28,-0.0118,-3.684398388,-0.955631895319622
184,1.2,1.2,1.3,1.32,-0.0168,-0.8502014739,-1.00977727610425
184.5,1.22,1.2,1.32,1.26,-0.0218,0.4509741999,-0.774915530028799
185,1.18,1.24,1.28,1.24,-0.0276,1.209063046,-0.457973919553799
185.5,1.14,1.24,1.32,1.28,0.0022,-2.300862837,-0.544593134698333
186,1.2,1.22,1.24,1.3,-0.0014,-1.816450711,-0.618231379604916
186.5,1.24,1.14,1.26,1.24,-0.0198,-1.825287607,-1.10230807960427
187,1.3,1.26,1.26,1.26,-0.0304,-2.289936086,-1.82931671147441
187.5,1.22,1.1,1.3,1.26,0.015,-1.094945983,-1.0990542665782
188,1.22,1.2,1.28,1.3,0.0036,0.7418629151,-0.288367475432152
188.5,1.14,1.14,1.2,1.2,-0.0124,2.567761217,0.526420351279323
189,1,1.02,0.96,1.08,-0.0076,2.4557342,1.26406370427166
189.5,0.76,0.66,0.8,0.9,-0.0016,4.241476728,2.47340152123723
190,0.42,0.54,0.54,0.52,0.0062,3.640162316,3.40452832527109
190.5,0.32,0.28,0.42,0.34,0.494,14.77472204,17.2496893531451
191,0.36,0.14,0.28,0.08,0.4846,32.300371,31.8407467434536
191.5,0.38,0.2,0.28,0.14,0.5056,41.91244262,45.4689023952131
192,0.28,0.18,0.32,0.22,0.5018,64.42187726,61.3878804458129
192.5,0.44,0.14,0.32,0.16,0.5076,75.64807728,76.2236979491659
193,0.36,0.12,0.3,0.12,0.4884,93.66789459,91.5448174062756
193.5,0.34,0.16,0.44,0.12,0.5212,104.0558161,106.229403800504
194,0.36,0.1,0.3,0.1,0.5338,116.5627281,120.461139931481
194.5,0.38,0.14,0.32,0.18,0.502,131.889867,134.184376651247
195,0.24,0.16,0.42,0.04,0.4978,147.8171321,148.348789638182
195.5,0.3,0.18,0.32,0.16,0.504,161.3832921,162.447782737634
196,0.44,0.06,0.34,0.16,0.506,176.0029693,176.689997421495
196.5,0.4,0.34,0.4,0.32,-0.0328,177.8799516,176.338861313995
197,0.58,0.52,0.54,0.68,-0.0276,182.104224,177.459306282424
197.5,0.74,0.76,0.8,0.82,-0.0002,182.2282855,179.058084518599
198,1.06,0.9,1.02,1.06,-0.0224,181.226265,179.598974434333
198.5,1.2,1.18,1.3,1.16,0.006,178.0725603,179.743427912241
199,1.2,1.18,1.22,1.32,0.0016,183.923921,181.346070295225
199.5,1.3,1.26,1.34,1.34,-0.0072,177.7243238,180.663772216842
200,1.18,1.3,1.3,1.2,-0.018,180.8463963,180.713910674508
200.5,1.2,1.22,1.32,1.22,-0.0214,179.2040563,180.219517819482
201,1.32,1.2,1.24,1.3,-0.0074,177.54173,179.637271733156
201.5,1.22,1.2,1.34,1.28,-0.0274,181.9305914,179.966097491121
202,1.24,1.2,1.24,1.32,-0.0342,180.6973173,179.796163642786
202.5,1.28,1.16,1.28,1.42,-0.0056,179.7872976,180.04149607764
203,1.18,1.22,1.32,1.28,-0.003,180.2373926,180.387402129352
203.5,1.22,1.16,1.18,1.3,-0.0102,180.3877491,180.523656392868
204,1.24,1.18,1.34,1.28,-0.0224,182.2840524,180.903436947419
204.5,1.18,1.18,1.24,1.3,-0.0152,179.1655684,180.497016907271
205,1.22,1.28,1.22,1.32,-0.0278,180.8234644,180.36105552424
205.5,1.22,1.24,1.24,1.3,0.0074,178.7975816,180.430546606695
206,1.16,1.24,1.28,1.36,0.013,179.8895413,180.835197576001
206.5,1.22,1.2,1.26,1.24,-0.0146,181.4586468,180.963659228176
207,1.12,1.24,1.26,1.4,-0.0196,183.6242553,181.589057490687
207.5,1.2,1.28,1.3,1.32,0.0006,179.2042009,181.28379595858
208,1.22,1.22,1.26,1.2,-0.0022,181.9957541,181.711084690067
208.5,1.3,1.18,1.26,1.3,-0.043,180.8889609,180.878053557316
209,1.26,1.14,1.22,1.22,-0.0388,182.6291554,180.862135715708
209.5,1.22,1.1,1.36,1.38,-0.0156,183.0347725,181.517566703996
210,1.14,1.26,1.26,1.3,-0.0232,181.4507542,181.446372457439
210.5,1.36,1.3,1.34,1.32,-0.0118,178.8140748,180.880957655557
211,1.18,1.2,1.22,1.3,-0.0064,183.9557383,181.957859578226
211.5,1.26,1.28,1.24,1.34,-0.0088,177.8042802,181.019175875872
212,1.3,1.16,1.34,1.34,-0.0026,180.7145452,181.162540594945
212.5,1.3,1.2,1.26,1.22,-0.0026,178.7391933,180.685249791704
213,1.24,1.28,1.28,1.34,0.0068,178.6960762,180.440655773318
213.5,1.22,1.16,1.32,1.26,-0.0216,183.3885663,180.940186631849
214,1.28,1.28,1.34,1.28,-0.0242,178.7222574,180.024838798609
214.5,1.24,1.2,1.28,1.36,-0.0198,180.8548197,180.009168819227
215,1.26,1.26,1.32,1.26,-0.0064,181.7588877,180.56573934925
215.5,1.1,1.2,1.3,1.4,-0.0118,177.6801227,179.74679221594
216,1.22,1.22,1.3,1.34,-0.0122,181.0869509,180.030672887612
216.5,1.22,1.24,1.28,1.28,-0.0136,181.5862027,180.392238864068
217,1.18,1.2,1.22,1.26,-0.0148,177.392913,179.487333213548
217.5,1.32,1.2,1.26,1.28,-0.029,176.7246336,178.268523458711
218,1.2,1.2,1.28,1.2,-0.0248,178.7399732,177.987816120533
218.5,1.34,1.24,1.28,1.36,-0.0134,182.0825483,179.001787522851
219,1.22,1.2,1.22,1.36,-0.0186,178.4602342,178.724970115071
219.5,1.2,1.22,1.3,1.26,0.0002,181.2712662,179.699067981028
220,1.3,1.2,1.24,1.2,-0.0104,181.0597358,180.18650739307
220.5,1.18,1.24,1.3,1.36,-0.018,181.1433086,180.440804154237
221,1.2,1.16,1.3,1.26,-0.0008,179.6632944,180.585740129168
221.5,1.18,1.2,1.28,1.26,-0.0214,182.6171882,181.06592695484
222,1.3,1.32,1.26,1.34,-0.0356,176.4072879,179.422109907807
222.5,1.22,1.24,1.3,1.3,-0.0082,180.1901693,179.751729856041
223,1.2,1.26,1.28,1.28,-0.018,179.9060967,179.724875095748
223.5,1.18,1.28,1.32,1.26,-0.0028,178.4543129,179.613115286943
224,1.2,1.18,1.36,1.28,0.0016,179.6355984,179.909028256672
224.5,1.22,1.28,1.18,1.2,-0.0068,180.0614126,180.057769863332
225,1.2,1.2,1.32,1.34,-0.025,177.8211703,179.155108313876
225.5,1.24,1.18,1.26,1.3,-0.0052,182.9080112,180.301770128459
226,1.28,1.22,1.32,1.26,-0.025,180.3529967,180.103097009007
226.5,1.2,1.24,1.26,1.3,-0.0202,182.9686565,180.812533629627
227,1.28,1.3,1.28,1.3,-0.0168,181.5588309,181.082514184673
227.5,1.18,1.24,1.16,1.22,-0.0046,180.8410469,181.342791309211
228,0.96,1.02,1.1,1.04,0.0008,180.1206638,181.413961326961
228.5,0.8,0.72,0.76,0.74,-0.0102,181.6262646,181.611239297702
229,0.52,0.54,0.42,0.5,-0.0252,181.7712637,181.486589468882
229.5,0.22,0.42,0.2,0.44,-0.5394,163.2959305,165.615775173502
230,0.2,0.34,0.18,0.32,-0.5294,149.6401585,150.479496598342
230.5,0.08,0.4,0.12,0.44,-0.5276,134.8450691,135.441031064132
231,0.1,0.44,0.22,0.38,-0.5448,121.4614476,120.493933414199
231.5,0.28,0.42,0.12,0.46,-0.5302,107.4705754,106.159275293394
232,0.12,0.38,0.16,0.38,-0.5378,88.97909421,90.5448681304044
232.5,0.26,0.22,0.2,0.38,-0.5548,76.70695641,75.4633920038005
233,0.18,0.4,0.18,0.44,-0.535,58.20853675,59.8714210204803
233.5,0.14,0.34,0.22,0.4,-0.5334,44.70148524,44.8328721546266
234,0.12,0.34,0.16,0.36,-0.5496,32.98317837,30.3988856021064
234.5,0.24,0.36,0.12,0.36,-0.5496,16.54379981,15.5063654814818
235,0.12,0.4,0.22,0.42,-0.5394,-2.405842172,-0.284163493961445
235.5,0.2,0.32,0.38,0.44,-0.0056,1.338239836,0.330937700304931
236,0.44,0.58,0.46,0.54,-0.0076,3.241574967,1.31387780309019
236.5,0.68,0.76,0.68,0.7,-0.0026,0.9146361368,1.54240762016026
237,1,0.92,1,1.04,-0.0086,-0.01403838959,1.29243689262143
237.5,1.14,1.2,1.14,1.24,-0.0372,-1.681593028,-0.00268474083484884
238,1.24,1.14,1.32,1.24,-0.0078,-0.6303742429,-0.100531449082522
238.5,1.2,1.28,1.28,1.3,-0.0324,-0.03354994528,-0.528562235138846
239,1.28,1.28,1.24,1.26,-0.0268,1.363415115,-0.302417090008549
239.5,1.22,1.34,1.22,1.36,-0.0252,-2.113265137,-1.02320575815629
240,1.28,1.2,1.18,1.34,-0.0212,-3.260799551,-1.8297919627078
240.5,1.24,1.26,1.26,1.26,0.0006,-3.503766245,-2.09047080128113
241,1.26,1.18,1.34,1.28,0.0152,-0.08781594523,-1.06848025674148
241.5,1.26,1.22,1.32,1.24,-0.0176,3.248119304,-0.0204902126465706
242,1.26,1.18,1.22,1.26,-0.0052,0.9167752097,0.462652779584511
242.5,1.16,1.2,1.26,1.32,-0.0086,-1.126745696,0.178241930511683
243,1.18,1.22,1.2,1.32,-0.0178,-0.1703532681,0.00139923765642478
243.5,1.28,1.26,1.24,1.24,-0.0244,0.6239553372,-0.0425175531331917
244,1.24,1.2,1.18,1.2,-0.0208,0.2751194925,-0.0705762822571634
244.5,1.24,1.2,1.32,1.4,-0.0078,-1.322568405,-0.262702358529763
245,1.22,1.3,1.22,1.18,-0.0004,-1.059756834,-0.21928947450909
245.5,1.14,1.22,1.34,1.24,-0.0178,2.57888148,0.451740568076055
246,1.12,1.28,1.26,1.3,-0.0082,-2.519938903,-0.227052376800271
246.5,1.22,1.24,1.28,1.22,-0.0054,-1.343276521,-0.419943822024284
247,1.2,1.18,1.3,1.28,-0.0212,0.5749718571,-0.377243452524171
247.5,1.24,1.2,1.38,1.32,-0.019,-2.321043839,-1.08283685499269
248,1.18,1.22,1.24,1.38,-0.012,0.06082631362,-0.821425218039808
248.5,1.18,1.18,1.28,1.3,-0.0214,-2.291456556,-1.45701794838713
249,1.14,1.2,1.24,1.34,-0.025,-2.51939803,-2.08650369920412
249.5,1.24,1.24,1.34,1.24,-0.0236,-0.555158628,-1.96951945764496
250,1.2,1.14,1.26,1.3,-0.0326,-0.5301603163,-2.00267271980676
250.5,1.1,1.18,1.2,1.32,-0.0078,-2.325507904,-1.96418579797215
251,1.28,1.2,1.3,1.34,-0.0196,-0.4314986242,-1.65652405628912
251.5,1.26,1.22,1.28,1.34,0.0052,-1.590760884,-1.20400778419107
252,1.2,1.2,1.36,1.38,-0.0098,-3.301975551,-1.69003191676279
252.5,1.18,1.28,1.26,1.32,0.0026,-2.888138952,-1.73529622268042
253,1.18,1.3,1.26,1.32,0.0026,-0.4937570118,-1.1374057260674
253.5,1.36,1.16,1.32,1.34,-0.01,0.3072396666,-0.712767716373818
254,1.24,1.22,1.36,1.28,-0.016,-1.448082231,-0.986350522818265
254.5,1.18,1.2,1.3,1.3,-0.0048,1.897748893,-0.0224782246837469
255,1.32,1.16,1.3,1.28,-0.0062,4.106614948,1.3483915792949
255.5,1.12,1.2,1.3,1.34,-0.0178,3.056254161,1.91215592875871
256,1.3,1.24,1.44,1.24,-0.0224,0.5434347002,1.55720758112704
256.5,1.24,1.32,1.3,1.28,-0.0264,-1.450964886,0.611347911838841
257,1.24,1.24,1.24,1.3,-0.021,-1.650941638,-0.100371555500094
257.5,1.3,1.24,1.24,1.3,-0.001,2.161889284,0.816184328355351
258,1.16,1.24,1.3,1.26,-0.0112,1.596663255,1.16050993432229
258.5,1.26,1.26,1.34,1.2,-0.0122,-2.554400055,0.226871575018364
259,1.24,1.14,1.28,1.3,-0.0084,2.208103845,0.869004991217375
259.5,1.22,1.2,1.3,1.28,0.0088,4.130350228,2.28478700205892
260,1.26,1.22,1.3,1.26,-0.008,-1.097572276,1.54900469441426
260.5,1.2,1.22,1.28,1.4,0.0066,2.960216465,2.36011312107763
261,1.22,1.14,1.26,1.22,-0.006,1.518958992,2.29904929238724
261.5,1.22,1.3,1.24,1.36,-0.0096,5.445809718,3.26277824435715
262,1.24,1.2,1.28,1.24,-0.0004,2.235632131,3.32392605949149
262.5,1.2,1.32,1.28,1.34,-0.0134,-1.744485655,1.92450896503888
263,1.2,1.22,1.26,1.28,-0.0182,2.740138532,1.93972735524317
263.5,1.28,1.3,1.32,1.32,-0.0342,-1.640666631,0.413069083639858
264,1.24,1.22,1.28,1.28,-0.0506,3.406195986,0.328019030120956
264.5,1.2,1.22,1.28,1.36,-0.0384,0.7318198438,-0.109876714086215
265,1.22,1.16,1.28,1.3,-0.0318,0.1715513146,-0.41103803134473
265.5,1.16,1.28,1.28,1.34,0.0072,1.800887562,0.660893544621725
266,1.2,1.22,1.26,1.16,-0.007,-0.7670888412,0.45707361485646
266.5,1.1,1.1,1.16,1.36,-0.0064,1.9771031,1.04997487648073
267,1.06,0.92,0.94,1.02,-0.024,-2.00673085,0.0223054289481315
267.5,0.78,0.7,0.78,0.84,0.0038,3.261888288,1.26538311795849
268,0.38,0.58,0.42,0.5,0.0022,4.069248279,2.43750782249711
268.5,0.44,0.24,0.4,0.36,0.4778,15.94421724,16.4749821285873
269,0.44,0.18,0.38,0.18,0.5022,28.80146073,30.6552445018115
269.5,0.24,0.18,0.38,0.22,0.4964,45.14182873,45.2502775559294
270,0.34,0.14,0.32,0.04,0.5026,60.97858706,60.3203564043457
270.5,0.4,0.06,0.32,0.12,0.5038,72.53082563,74.444626682544
271,0.36,0.06,0.34,0.14,0.4902,88.2549087,88.662020863135
271.5,0.3,0.16,0.46,0.16,0.5108,105.7240885,104.207694179559
272,0.34,0.08,0.48,0.22,0.5072,118.8992539,119.071564451196
272.5,0.38,0.1,0.3,0.14,0.5088,133.0049626,133.745649711245
273,0.34,0.12,0.38,0.12,0.5066,151.6953891,149.483007666266
273.5,0.4,0.08,0.44,0.02,0.5266,163.8378486,164.704976010159
274,0.38,0.06,0.28,0.14,0.5214,180.0608526,180.067274347582
274.5,0.34,0.24,0.48,0.26,-0.0036,180.754283,180.494551787471
275,0.46,0.5,0.4,0.48,-0.0258,179.7664654,180.075804671899
275.5,0.78,0.72,0.84,0.78,-0.0056,179.4060192,180.074761823616
276,0.88,0.98,0.96,1.04,-0.0096,182.7498542,180.912533775307
276.5,1.18,1.16,1.18,1.2,-0.0264,179.5518,180.338706478641
277,1.34,1.22,1.2,1.24,-0.0424,178.6922152,179.321789067758
277.5,1.28,1.24,1.34,1.4,-0.0248,180.0903708,179.324546807135
278,1.24,1.28,1.28,1.3,-0.0148,180.6361565,179.71943210897
278.5,1.24,1.2,1.46,1.32,0.0058,179.0652143,180.018167202688
279,1.28,1.28,1.28,1.32,-0.0098,176.2146971,179.062020152218
279.5,1.14,1.3,1.3,1.34,-0.0094,176.619113,178.378287868328
280,1.28,1.24,1.36,1.22,0.0018,180.0109509,179.005900066807
280.5,1.36,1.18,1.32,1.22,-0.0196,182.8749949,179.87242819405
281,1.2,1.24,1.26,1.3,-0.0096,179.5162006,179.87331365228
281.5,1.14,1.22,1.32,1.34,-0.016,182.7680584,180.650474476294
282,1.12,1.28,1.32,1.22,-0.0174,184.8230112,181.852401402963
282.5,1.24,1.14,1.26,1.34,-0.0024,180.625257,181.956518928558
283,1.18,1.14,1.36,1.3,-0.022,180.6117619,181.568094610223
283.5,1.28,1.24,1.24,1.32,-0.0086,178.4848855,180.920084368645
284,1.2,1.08,1.24,1.24,-0.0342,178.2396214,179.756847845195
284.5,1.16,1.22,1.28,1.26,-0.0378,176.4061931,178.26448124698
285,1.28,1.22,1.26,1.36,-0.0346,178.1042738,177.663821792768
285.5,1.14,1.3,1.36,1.36,-0.0252,176.1449223,176.889180769894
286,1.32,1.28,1.36,1.18,-0.011,177.0774185,176.858580503745
286.5,1.26,1.3,1.3,1.36,-0.0086,179.7530711,177.654840342201
287,1.24,1.2,1.32,1.4,-0.0092,175.9681957,177.22823084146
287.5,1.36,1.14,1.22,1.34,-0.0036,177.944019,177.544504455217
288,1.2,1.24,1.26,1.28,-0.0046,179.8590868,178.311246156077
288.5,1.14,1.28,1.28,1.38,-0.0108,174.4730041,177.270477417062
289,1.28,1.26,1.2,1.32,-0.0188,176.8245234,176.908691785483
289.5,1.3,1.24,1.32,1.3,-0.002,174.2884128,176.270715454658
290,1.24,1.14,1.28,1.28,-0.0016,182.092605,177.952534566584
290.5,1.2,1.22,1.3,1.3,-0.0076,179.2168478,178.394894067328
291,1.22,1.36,1.34,1.3,-0.0062,179.282004,178.794121162102
291.5,1.28,1.26,1.28,1.3,-0.003,181.1758612,179.704198258184
292,1.3,1.2,1.3,1.24,-0.0134,178.9240633,179.566399209392
292.5,1.22,1.2,1.32,1.46,0.0014,178.570321,179.643398620719
293,1.28,1.28,1.3,1.32,-0.0158,179.1539862,179.465376548294
293.5,1.22,1.26,1.2,1.18,-0.0146,180.4818487,179.726114956204
294,1.22,1.18,1.3,1.34,-0.002,180.4892783,180.205826332843
294.5,1.26,1.26,1.38,1.26,-0.015,181.9159384,180.699802741992
295,1.26,1.14,1.26,1.26,-0.0136,182.5667732,181.319147957676
295.5,1.26,1.18,1.28,1.32,-0.013,185.1718295,182.567969544787
296,1.22,1.2,1.3,1.22,-0.011,179.8103769,182.092903894558
296.5,1.22,1.1,1.28,1.24,-0.0304,184.9198955,182.707358220302
297,1.26,1.32,1.28,1.26,-0.0408,178.9300125,181.32844924518
297.5,1.26,1.16,1.3,1.32,0.0032,181.4733668,181.862873115357
298,1.28,1.3,1.26,1.2,-0.002,180.8211385,181.937060261009
298.5,1.24,1.22,1.26,1.28,-0.0188,181.7479174,181.860796596414
299,1.14,1.22,1.26,1.36,-0.0206,178.5511944,180.856939080674
299.5,1.24,1.22,1.24,1.26,0.0106,178.5434511,180.677121511377
300,1.24,1.24,1.28,1.24,0.006,180.3989826,180.889282689365
300.5,1.26,1.28,1.2,1.34,-0.0364,184.2174404,181.23432577629
301,1.26,1.32,1.26,1.36,-0.0382,183.5394725,181.379875473324
301.5,1.2,1.16,1.28,1.26,-0.0038,182.1755065,181.895188627676
302,1.26,1.28,1.24,1.28,-0.0142,179.0111514,181.164579473915
302.5,1.22,1.24,1.32,1.28,-0.0186,181.7628932,181.239976875101
303,1.26,1.24,1.18,1.32,-0.0166,181.3926834,181.252317233813
303.5,1.22,1.2,1.32,1.2,-0.0054,179.7262919,181.02389112356
304,1.2,1.24,1.28,1.3,-0.005,180.9083402,181.148463435278
304.5,1.3,1.16,1.22,1.3,-0.0352,179.7670262,180.283823308955
305,1.24,1.18,1.18,1.2,-0.0344,181.9592037,180.281209796537
305.5,1.18,1.24,1.18,1.2,-0.0036,180.6026006,180.598015137171
306,0.92,0.98,0.98,1.08,-0.0186,180.8645784,180.591721758496
306.5,0.66,0.62,0.72,0.76,-0.0078,180.3562166,180.676162185311
307,0.46,0.46,0.48,0.5,-0.005,180.4859597,180.8171945564
307.5,0.24,0.3,0.18,0.46,-0.5316,164.2475721,165.490873765882
308,0.2,0.32,0.12,0.4,-0.525,148.997465,150.268307051108
308.5,0.08,0.42,0.12,0.44,-0.5342,136.2481058,135.504623825618
309,0.1,0.4,0.14,0.38,-0.5488,121.9898864,120.616768344909
309.5,0.16,0.4,0.08,0.48,-0.5518,104.5640907,105.005748528852
310,0.16,0.28,0.24,0.32,-0.552,88.27958081,89.1805091972967
310.5,0.24,0.32,0.1,0.42,-0.5232,75.5148655,74.7763173796901
311,0.1,0.32,0.16,0.46,-0.5004,62.13594307,61.1625787961168
311.5,0.16,0.42,0.14,0.26,-0.5424,46.0203868,46.0186980264176
312,0.2,0.38,0.16,0.3,-0.5448,30.58391876,30.7425937030705
312.5,0.22,0.34,0.12,0.38,-0.5196,12.880941,15.2877420861387
313,0.14,0.28,0.2,0.32,-0.5188,0.3918931908,0.588082353815653
313.5,0.16,0.4,0.22,0.36,-0.0388,-2.040193088,-0.790106113293814
314,0.4,0.42,0.5,0.54,-0.045,-1.950974373,-1.93249964047584
314.5,0.76,0.78,0.76,0.74,-0.0202,4.173572309,-0.503981381862596
315,1,1.02,1.06,1.12,-0.019,-0.2948686374,-0.524398367362161
315.5,1.08,1.16,1.18,1.18,-0.0094,1.551485938,0.191903837133042
316,1.16,1.18,1.12,1.2,-0.0006,1.856070458,1.03013027756466
316.5,1.22,1.2,1.32,1.3,0.0008,-2.778684225,0.378817834988635
317,1.2,1.1,1.24,1.34,-0.0056,0.6598064506,0.621892678669061
317.5,1.1,1.12,1.18,1.32,0.0004,2.681913389,1.49471213304872
318,1.24,1.22,1.26,1.3,-0.0042,6.265799278,3.09365053401812
318.5,1.18,1.26,1.28,1.36,-0.0394,1.289360459,2.23979004428192
319,1.16,1.26,1.28,1.38,-0.0384,0.9569989621,1.5137552702259
319.5,1.2,1.22,1.28,1.34,-0.0046,0.246669415,1.46173887371177
320,1.2,1.3,1.28,1.32,-0.0196,-0.2860206646,0.913466077770627
320.5,1.18,1.22,1.32,1.22,-0.033,1.354179355,0.660140302647186
321,1.22,1.18,1.28,1.3,-0.0126,-3.437496867,-0.433263865500555
321.5,1.2,1.3,1.26,1.24,-0.0026,1.803987336,0.348069695925213
322,1.18,1.3,1.32,1.28,0.0086,0.896995123,0.942292516936821
322.5,1.14,1.26,1.3,1.28,-0.0176,-1.364548945,0.186382401463334
323,1.14,1.2,1.28,1.3,-0.0388,0.3693665868,-0.364114942698964
323.5,1.14,1.22,1.34,1.28,-0.0234,0.4208572039,-0.396350234968943
324,1.2,1.24,1.22,1.36,-0.0122,-2.619866194,-1.01783335992596
324.5,1.18,1.22,1.22,1.28,-0.0152,-1.974480216,-1.40988353495554
325,1.2,1.18,1.3,1.26,-0.0132,-0.9721096566,-1.38925440522721
325.5,1.22,1.2,1.26,1.3,0.0196,0.7644862457,-0.190718609905789
326,1.22,1.3,1.24,1.24,0.0068,1.892972506,0.76627086140699
326.5,1.28,1.32,1.34,1.22,-0.0258,1.160500871,0.62314413716819
327,1.14,1.24,1.28,1.34,-0.0106,-1.378628271,0.134708871723559
327.5,1.16,1.16,1.2,1.26,-0.032,1.759189387,0.171800713804083
328,1.26,1.18,1.22,1.24,-0.0264,0.6077518529,0.0544109385303188
328.5,1.22,1.2,1.26,1.32,-0.0332,1.025397004,-0.0268851171992382
329,1.18,1.28,1.24,1.3,-0.0244,1.219829294,0.195723974447094
329.5,1.22,1.16,1.36,1.42,0.0154,-0.1449576574,0.828108575591137
330,1.22,1.24,1.3,1.32,0.0152,-0.7809472325,1.05462535402991
330.5,1.16,1.26,1.38,1.32,-0.0078,0.6291670687,1.06661967710704
331,1.16,1.22,1.36,1.34,-0.0132,0.2234465508,0.830503517036341
331.5,1.24,1.18,1.24,1.26,-0.0322,1.927839622,0.729446002132094
332,1.22,1.22,1.22,1.3,-0.0266,-0.2140699441,0.215280772774282
332.5,1.12,1.2,1.24,1.32,-0.0236,0.5289950093,0.101161010749847
333,1.24,1.18,1.36,1.28,-0.0116,-1.201953984,-0.207420422321444
333.5,1.26,1.22,1.26,1.34,-0.0186,0.9568282098,-0.00180197997482129
334,1.28,1.26,1.3,1.34,-0.027,-1.389042164,-0.651740425302113
334.5,1.24,1.36,1.3,1.16,-0.0058,-1.828873309,-0.838705516244169
335,1.16,1.18,1.32,1.32,-0.0072,-1.377813034,-0.915705627771352
335.5,1.22,1.16,1.28,1.32,-0.0172,0.8300664197,-0.569037554581665
336,1.24,1.2,1.4,1.22,-0.0294,0.002803620218,-0.745950059399805
336.5,1.3,1.18,1.34,1.22,0.0046,-1.679109227,-0.62048650831574
337,1.18,1.12,1.24,1.3,0.0076,-1.860629336,-0.565990863222577
337.5,1.18,1.32,1.32,1.34,-0.028,-0.2378671263,-0.852130459620861
338,1.16,1.18,1.3,1.3,-0.0152,-2.032576622,-1.27759740004458
338.5,1.18,1.18,1.28,1.28,-0.0158,-1.743819985,-1.54497684479872
339,1.26,1.22,1.36,1.32,-0.0204,4.527463999,-0.059068456817548
339.5,1.26,1.24,1.24,1.28,-0.0134,0.3702658379,0.165056263728269
340,1.22,1.22,1.38,1.22,-0.0062,-4.180253758,-0.809728421395907
340.5,1.22,1.26,1.3,1.34,-0.0024,-0.4209701178,-0.507105632790994
341,1.24,1.26,1.2,1.32,-0.0014,-0.1151353066,-0.179364207532127
341.5,1.18,1.2,1.28,1.24,-0.033,-2.710095359,-1.32684622781623
342,1.18,1.2,1.18,1.24,-0.028,-1.706350835,-1.8203466609423
342.5,1.24,1.26,1.24,1.32,-0.021,1.413215855,-1.13968500566549
343,1.28,1.22,1.26,1.28,-0.023,-2.204543074,-1.61087255133922
343.5,1.28,1.28,1.22,1.26,-0.0094,0.08347603457,-1.04521601104925
344,1.2,1.32,1.26,1.32,-0.0242,-4.235403437,-2.12142662366266
344.5,1.18,1.18,1.26,1.14,0.0072,-1.804002088,-1.64831779173958
345,0.98,0.94,1.02,1.08,-0.0092,-3.274315055,-2.07002740474716
345.5,0.62,0.74,0.86,0.78,-0.0214,0.0929344784,-1.71803500781458
346,0.6,0.4,0.5,0.54,-0.0256,-2.141307011,-2.10877036642869
346.5,0.38,0.3,0.44,0.26,0.5128,16.23257276,13.8714428599587
347,0.34,0.14,0.26,0.16,0.508,31.15978279,29.5554466399496
347.5,0.26,0.06,0.44,0.22,0.503,40.28332741,43.3432612347356
348,0.32,0.12,0.38,0.16,0.5138,55.47769633,57.6207949844719
348.5,0.4,0.18,0.38,0.1,0.5294,75.48254053,73.7523796381775
349,0.32,0.22,0.46,0.1,0.5296,91.27077502,89.8647456537283
349.5,0.34,0.08,0.42,0.14,0.5052,105.1995412,104.91691763937
350,0.34,0.08,0.4,0.1,0.5116,117.910521,119.447888172797
350.5,0.42,0.08,0.34,0.14,0.5212,132.3037777,134.070827267488
351,0.34,0.08,0.32,0.08,0.5164,152.630645,150.138781462719
351.5,0.4,0.2,0.38,0.14,0.4988,165.0776385,164.924546191471
352,0.34,0.08,0.38,0.14,0.5126,180.9662999,180.313071977265
352.5,0.28,0.34,0.4,0.32,-0.0114,183.1429788,181.228977862602
353,0.54,0.5,0.54,0.58,-0.0196,181.124686,181.22573050377
353.5,0.74,0.72,0.8,0.88,-0.021,181.3370907,181.250650027535
354,0.94,0.94,1,0.92,-0.0128,184.065532,182.214969635312
354.5,1.2,1.16,1.14,1.34,-0.0236,179.1701837,181.37360198826
355,1.18,1.2,1.3,1.22,-0.0276,180.4709023,180.963833509675
355.5,1.18,1.24,1.3,1.3,-0.0106,182.3313736,181.526171982909
356,1.22,1.2,1.3,1.34,-0.0102,181.2148515,181.654633348617
