Time(s),Sensor1,Sensor2,Sensor3,Sensor4,Gyroscope,Magnetic_compass,Gyro integrated heading
39.5,0.3,0.1,0.36,0.18,0.528,166.2214273,162.556557238405
40,0.3,0.14,0.34,0.1,0.5268,178.9961266,178.23703404485
40.5,0.3,0.32,0.36,0.24,-0.0092,179.2135801,178.564184522404
41,0.48,0.52,0.52,0.56,-0.0158,178.7336114,178.554640790478
41.5,0.7,0.68,0.74,0.76,-0.0048,186.1938065,180.898928098926
42,0.96,0.94,0.94,1.04,-0.008,182.8288062,181.783744239451
42.5,1.18,1.12,1.18,1.24,-0.0234,176.1082852,180.238425372173
43,1.24,1.22,1.32,1.36,-0.0194,177.4730856,179.424284699718
43.5,1.2,1.24,1.26,1.34,-0.009,182.3091496,180.343850313536
44,1.24,1.16,1.26,1.38,-0.0062,178.8259156,180.155227518105
44.5,1.16,1.18,1.3,1.36,-0.0084,181.4518658,180.663496215703
45,1.2,1.2,1.24,1.32,-0.008,177.5446212,179.960291969279
45.5,1.16,1.32,1.24,1.22,-0.012,180.9324968,180.232866286227
46,1.2,1.22,1.32,1.32,-0.01,181.725246,180.72412074466
46.5,1.26,1.26,1.3,1.26,-0.0088,178.9365218,180.351785303915
47,1.22,1.22,1.24,1.26,-0.0116,176.710921,179.335253702188
47.5,1.18,1.2,1.14,1.3,-0.0234,178.1654585,178.665653369122
48,1.24,1.28,1.24,1.2,-0.0054,178.968162,178.761847928169
48.5,1.2,1.22,1.28,1.36,-0.0128,182.8984399,179.803480837959
49,1.26,1.26,1.34,1.28,-0.018,182.0438236,180.332768421646
49.5,1.16,1.22,1.3,1.26,-0.0394,175.4589093,178.476792721903
50,1.18,1.24,1.3,1.3,-0.0268,183.3648131,179.52115588829
50.5,1.16,1.2,1.32,1.26,-0.019,177.0151049,178.791251329654
51,1.26,1.28,1.36,1.2,-0.0076,175.3372112,177.949990895354
51.5,1.16,1.22,1.26,1.3,-0.0058,180.6189011,178.771853595155
52,1.18,1.12,1.26,1.16,-0.01,183.5202295,180.177022428328
52.5,1.14,1.18,1.18,1.34,0.0004,176.8581545,179.648717686733
53,1.28,1.22,1.26,1.32,0.001,181.832974,180.575343761764
53.5,1.22,1.26,1.22,1.2,-0.0136,184.1665837,181.655753203145
54,1.24,1.22,1.3,1.32,-0.018,182.2194077,181.894035195819
54.5,1.22,1.26,1.22,1.28,-0.0098,181.3541424,182.001215190326
55,1.2,1.3,1.28,1.28,-0.0156,176.4185339,180.530140131646
55.5,1.16,1.24,1.32,1.34,-0.0388,179.0855381,179.581609189297
56,1.2,1.3,1.22,1.26,-0.0342,177.4377425,178.507683865939
56.5,1.26,1.24,1.3,1.34,-0.0132,177.642139,178.181615430907
57,1.2,1.2,1.32,1.28,-0.0302,179.0128719,177.965349440111
57.5,1.18,1.28,1.36,1.34,-0.031,181.3025015,178.488931414142
58,1.16,1.2,1.32,1.34,-0.0406,173.0801385,176.453365744544
58.5,1.2,1.18,1.22,1.34,0.0138,176.3141083,176.885177873899
59,1.28,1.18,1.28,1.34,0.0006,180.3776513,178.052680199552
59.5,1.22,1.36,1.36,1.3,-0.0008,176.6202178,177.893020751019
60,1.18,1.22,1.3,1.28,0.0062,181.037631,179.121750394187
60.5,1.2,1.22,1.3,1.36,0.0048,179.6380138,179.657736528045
61,1.26,1.22,1.32,1.36,-0.0108,176.8932199,178.941497213607
61.5,1.18,1.16,1.3,1.26,0.0126,181.2340768,180.053133714938
62,1.24,1.24,1.28,1.3,-0.002,180.4390912,180.374608547697
62.5,1.24,1.24,1.24,1.36,-0.0282,179.0455207,179.674480503049
63,1.32,1.28,1.28,1.32,-0.0068,185.6989735,181.473944313846
63.5,1.16,1.26,1.3,1.34,-0.024,181.2126983,181.317230353865
64,1.18,1.24,1.3,1.3,-0.0254,182.7064795,181.59585366998
64.5,1.12,1.28,1.18,1.28,-0.039,182.6025672,181.53447125453
65,1.24,1.22,1.24,1.32,-0.057,180.6805269,180.621386868161
65.5,1.16,1.24,1.32,1.28,-0.0216,179.3503248,180.3186715727
66,1.2,1.26,1.34,1.2,-0.0134,179.3917598,180.240379649428
66.5,1.2,1.18,1.28,1.3,0.011,179.1876089,180.590566389112
67,1.28,1.18,1.26,1.3,0.003,179.3172173,180.653887619189
67.5,1.26,1.2,1.2,1.26,-0.001,176.408362,179.734128552362
68,1.26,1.22,1.28,1.36,-0.0128,181.3033456,180.080434250172
68.5,1.16,1.2,1.24,1.28,-0.014,180.4438717,180.112236667147
69,1.26,1.22,1.32,1.28,-0.0124,176.8819344,179.170893948993
69.5,1.2,1.18,1.24,1.26,-0.0268,181.0181271,179.277432687719
70,1.3,1.2,1.3,1.32,-0.0236,180.3756078,179.311579007635
70.5,1.18,1.22,1.38,1.26,0.0086,178.4380261,179.492191545821
71,1.22,1.16,1.26,1.3,-0.0208,176.9087776,178.539082905972
71.5,1.14,1.24,1.2,1.38,-0.0296,182.9158523,179.31141082223
72,0.96,0.88,1.08,1.06,-0.0302,178.208278,178.670279674057
72.5,0.74,0.7,0.72,0.78,-0.0294,175.6902402,177.492949506673
73,0.46,0.46,0.66,0.54,-0.0176,178.3271878,177.563232276839
73.5,0.3,0.3,0.28,0.36,-0.5342,163.6268162,162.874943835048
74,0.1,0.34,0.18,0.4,-0.5394,147.8783262,147.811230052108
74.5,0.14,0.26,0.16,0.28,-0.524,134.9625437,133.676078456017
75,0.14,0.38,0.1,0.3,-0.5392,118.8464454,118.721879116467
75.5,0.22,0.38,0.26,0.4,-0.5426,101.8394316,103.120517743511
76,0.1,0.34,0.16,0.36,-0.5434,89.30797095,88.319318007924
76.5,0.12,0.42,0.14,0.38,-0.512,76.24935357,74.6993514883753
77,0.28,0.3,0.16,0.4,-0.532,60.87664145,60.2379386436011
77.5,0.14,0.46,0.04,0.34,-0.5308,43.87362295,45.1070115128119
78,0.2,0.38,0.16,0.36,-0.5222,28.39198669,30.0001002455774
78.5,0.2,0.38,0.18,0.4,-0.53,15.89954157,15.4064400903476
79,0.1,0.28,0.24,0.32,-0.5248,1.878118985,1.10303777115474
79.5,0.22,0.42,0.28,0.34,-0.0318,1.178230504,0.808675164771017
80,0.44,0.42,0.52,0.58,-0.0306,-1.247261523,-0.0502112820382351
80.5,0.66,0.68,0.76,0.78,-0.0044,-1.470001671,-0.242307425623199
81,0.92,0.96,0.98,1.04,-0.0196,0.3489886275,-0.227949141612002
81.5,1.08,1.2,1.2,1.22,-0.0064,0.007375750934,-0.019114670998969
82,1.22,1.24,1.3,1.34,-0.0078,1.19246696,0.439270966538736
82.5,1.18,1.22,1.22,1.32,-0.0152,0.2499684553,0.380441956019729
83,1.22,1.28,1.28,1.32,-0.0176,-3.563775722,-0.799151979733309
83.5,1.26,1.2,1.16,1.34,-0.0072,-1.199640368,-0.877880961058969
84,1.22,1.18,1.26,1.26,-0.0076,2.083547841,-0.0242323329992558
84.5,1.28,1.26,1.34,1.32,-0.02,0.2065610434,-0.109809955896933
85,1.3,1.28,1.28,1.34,-0.0232,0.5172281853,-0.134993434051025
85.5,1.3,1.28,1.32,1.26,0.0028,-1.399779894,-0.135871741917266
86,1.18,1.24,1.26,1.26,-0.0136,-0.313257077,-0.218679674479753
86.5,1.18,1.16,1.28,1.28,-0.0368,2.790397631,0.123067483990828
87,1.12,1.22,1.3,1.3,-0.039,-3.767833114,-1.42475758042728
87.5,1.2,1.24,1.32,1.26,-0.008,-1.201168465,-1.26900858817388
88,1.26,1.24,1.26,1.3,-0.007,2.122782837,-0.190455091192845
88.5,1.14,1.26,1.34,1.3,-0.0094,1.933871159,0.578192492484914
89,1.14,1.2,1.26,1.3,-0.0186,-1.029867495,0.156656409192124
